program executed sucessfully with return code: 0
clock :1 fetch (lw 20 0 0) 
clock :2 fetch (add 0 0 0)  decode (lw 0 0 0) 
clock :3 fetch (add 0 0 0)  decode (NOPE)  execute (lw 0 0 0) 
clock :4 fetch (add 0 0 0)  decode (NOPE)  execute (NOPE)  write_back (lw 20 0 0) 

clock :5 fetch (add 20 0 0)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :6 fetch (sw 20 0 0)  decode (add 20 0 0)  execute (NOPE)  write_back(NOPE ) 

clock :7 fetch (sw 20 0 0)  decode (NOPE)  execute (add 20 0 0)  write_back(NOPE ) 

clock :8 fetch (sw 20 0 0)  decode (NOPE)  execute (NOPE)  write_back (add 20 20 0) 

clock :9 fetch (sw 20 20 0)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :10 fetch (addi 20 0 20)  decode (sw 20 0 20)  execute (NOPE)  write_back(NOPE ) 

clock :11 fetch (addi 20 0 20)  decode (NOPE)  execute (sw 20 0 20)  write_back(NOPE ) 

clock :12 fetch (addi 20 0 20)  decode (NOPE)  execute (NOPE)  write_back (sw 20 0 20) 

clock :13 fetch (addi 20 0 20)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :14 fetch (bne 20 0 0)  decode (addi 20 0 0)  execute (NOPE)  write_back(NOPE ) 

clock :15 fetch (bne 20 0 0)  decode (NOPE)  execute (addi 20 0 0)  write_back(NOPE ) 

clock :16 fetch (bne 20 0 0)  decode (NOPE)  execute (NOPE)  write_back (addi 16 0 0) 

clock :17 fetch (bne 16 0 0)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :18 fetch (lw 16 0 20)  decode (bne 16 0 20)  execute (NOPE)  write_back(NOPE ) 

clock :19 fetch (lw 16 0 20)  decode (NOPE)  execute (bne 16 0 20)  write_back(NOPE ) 

clock :20 fetch (lw 16 0 20)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :21 fetch (add 20 0 20)  decode (lw 20 0 20)  execute (NOPE)  write_back(NOPE ) 

clock :22 fetch (add 20 0 20)  decode (NOPE)  execute (lw 20 0 20)  write_back(NOPE ) 

clock :23 fetch (add 20 0 20)  decode (NOPE)  execute (NOPE)  write_back (lw 16 0 20) 

clock :24 fetch (add 16 0 20)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :25 fetch (sw 16 20 0)  decode (add 16 20 0)  execute (NOPE)  write_back(NOPE ) 

clock :26 fetch (sw 16 20 0)  decode (NOPE)  execute (add 16 20 0)  write_back(NOPE ) 

clock :27 fetch (sw 16 20 0)  decode (NOPE)  execute (NOPE)  write_back (add 16 16 0) 

clock :28 fetch (sw 16 16 0)  decode (NOPE)  execute (NOPE)  write_back(NOPE ) 

clock :29 fetch (addi 16 0 16)  decode (sw 16 0 16)  execute (NOPE)  write_back(NOPE ) 

clock :30 fetch (addi 16 0 16)  decode (NOPE)  execute (sw 16 0 16)  write_back(NOPE ) 

